from_id,to_id,fromid_toid,route_number,at,from_x,from_y,to_x,to_y,total_route_time,route_time,route_distance,route_total_lines
5861326,5865066,5861326_5865066,1,08:00:00,24.9704379,60.3119173,25.0114087,60.3080459,35,27,3856.4,1
5861326,5865067,5861326_5865067,1,08:00:00,24.9704379,60.3119173,25.0159301,60.3081135,39,32,4219.8,1
5861326,5865068,5861326_5865068,1,08:06:00,24.9704379,60.3119173,25.0204517,60.3081809,35,25,7170.7,2
5861326,5865069,5861326_5865069,1,08:00:00,24.9704379,60.3119173,25.0249732,60.3082482,33,25,4881.4,1
5861326,5865070,5861326_5865070,1,08:00:00,24.9704379,60.3119173,25.0294947,60.3083153,34,27,5405.4,1
5861326,5865071,5861326_5865071,1,08:06:00,24.9704379,60.3119173,25.0340163,60.3083823,33,26,6632.3,2
5861326,5865072,5861326_5865072,1,08:00:00,24.9704379,60.3119173,25.0385379,60.3084491,34,30,7784,1
5861326,5865073,5861326_5865073,1,08:00:00,24.9704379,60.3119173,25.0430595,60.3085158,37,33,7994.6,1
5861326,5865074,5861326_5865074,1,08:00:00,24.9704379,60.3119173,25.0475812,60.3085823,29,25,7431.9,1
5861326,5865075,5861326_5865075,1,08:00:00,24.9704379,60.3119173,25.0521028,60.3086486,30,26,7502.4,1
5861326,5865076,5861326_5865076,1,08:00:00,24.9704379,60.3119173,25.0566245,60.3087148,32,28,7671.4,1
5861326,5865077,5861326_5865077,1,08:06:00,24.9704379,60.3119173,25.0611462,60.3087809,46,36,9719.7,2
5861326,5865078,5861326_5865078,1,08:06:00,24.9704379,60.3119173,25.065668,60.3088468,45,34,9601.5,2
5861326,5865079,5861326_5865079,1,08:06:00,24.9704379,60.3119173,25.0701897,60.3089125,41,31,9366.7,2
5861326,5865080,5861326_5865080,1,08:00:00,24.9704379,60.3119173,25.0747115,60.3089781,65,60,10783.8,2
5861326,5865081,5861326_5865081,1,08:00:00,24.9704379,60.3119173,25.0792333,60.3090436,61,56,10510.3,2
5861326,5865082,5861326_5865082,1,08:00:00,24.9704379,60.3119173,25.0837551,60.3091088,56,52,10183.9,2
5861326,5865083,5861326_5865083,1,08:00:00,24.9704379,60.3119173,25.0882769,60.309174,56,52,10198.2,2
5861326,5865084,5861326_5865084,1,08:06:00,24.9704379,60.3119173,25.0927988,60.3092389,52,37,11308.1,3
5861326,5865085,5861326_5865085,1,08:06:00,24.9704379,60.3119173,25.0973206,60.3093038,52,38,11428.8,3
5861326,5865086,5861326_5865086,1,08:00:00,24.9704379,60.3119173,25.1018425,60.3093684,56,49,10639,2
5861326,5865087,5861326_5865087,1,08:00:00,24.9704379,60.3119173,25.1063644,60.3094329,53,45,10370.4,2
5861326,5865088,5861326_5865088,1,08:00:00,24.9704379,60.3119173,25.1108864,60.3094973,58,50,15659.1,2
5861326,5865089,5861326_5865089,1,08:00:00,24.9704379,60.3119173,25.1154083,60.3095615,57,49,10657.5,2
5861326,5865090,5861326_5865090,1,08:00:00,24.9704379,60.3119173,25.1199303,60.3096256,58,50,10718.2,2
5861326,5865091,5861326_5865091,1,08:23:00,24.9704379,60.3119173,25.1244523,60.3096895,63,51,12403.8,2
5861326,5865092,5861326_5865092,1,08:23:00,24.9704379,60.3119173,25.1289743,60.3097532,66,54,12618.8,2
5861326,5865093,5861326_5865093,1,08:23:00,24.9704379,60.3119173,25.1334964,60.3098168,71,58,12881.9,2
5861326,5865094,5861326_5865094,1,08:23:00,24.9704379,60.3119173,25.1380184,60.3098802,90,78,14294.5,2
5861326,5865095,5861326_5865095,1,08:23:00,24.9704379,60.3119173,25.1425405,60.3099435,87,75,14034.9,2
5861326,5865096,5861326_5865096,1,08:23:00,24.9704379,60.3119173,25.1470626,60.3100066,90,79,14316.8,2
5861326,5865097,5861326_5865097,1,08:23:00,24.9704379,60.3119173,25.1515847,60.3100696,93,82,14516,2
5861326,5865098,5861326_5865098,1,08:26:00,24.9704379,60.3119173,25.1561069,60.3101324,107,87,21174.9,2
5861326,5865099,5861326_5865099,1,08:23:00,24.9704379,60.3119173,25.160629,60.3101951,89,74,14688.9,2
5861326,5865100,5861326_5865100,1,08:23:00,24.9704379,60.3119173,25.1651512,60.3102576,93,78,14948.4,2
5861326,5865101,5861326_5865101,1,08:26:00,24.9704379,60.3119173,25.1696734,60.31032,124,100,21605.6,2
5861326,5865102,5861326_5865102,1,08:26:00,24.9704379,60.3119173,25.1741956,60.3103822,124,101,21641.9,2
5861326,5866818,5861326_5866818,1,08:00:00,24.9704379,60.3119173,24.5098403,60.2973456,130,103,42793.7,3
5861326,5866819,5861326_5866819,1,08:00:00,24.9704379,60.3119173,24.5143588,60.2974303,128,101,42622.1,3
5861326,5866820,5861326_5866820,1,08:00:00,24.9704379,60.3119173,24.5188773,60.2975148,128,101,42622.6,3
5861326,5866821,5861326_5866821,1,08:00:00,24.9704379,60.3119173,24.5233958,60.2975991,129,102,42152.6,3
5861326,5866822,5861326_5866822,1,08:00:00,24.9704379,60.3119173,24.5279143,60.2976833,133,107,42459.1,3
5861326,5866823,5861326_5866823,1,08:00:00,24.9704379,60.3119173,24.5324329,60.2977673,134,107,42516,3
5861326,5866824,5861326_5866824,1,08:00:00,24.9704379,60.3119173,24.5369515,60.2978512,137,110,42713.6,3
5861326,5866825,5861326_5866825,1,08:34:00,24.9704379,60.3119173,24.5414702,60.2979349,139,104,39694,2
5861326,5866826,5861326_5866826,1,08:34:00,24.9704379,60.3119173,24.5459888,60.2980184,132,98,39241,2
5861326,5866827,5861326_5866827,1,08:34:00,24.9704379,60.3119173,24.5505075,60.2981018,128,93,38937,2
5861326,5866828,5861326_5866828,1,08:34:00,24.9704379,60.3119173,24.5550262,60.2981851,127,92,38856.5,2
5861326,5866829,5861326_5866829,1,08:34:00,24.9704379,60.3119173,24.5595449,60.2982682,128,93,38945.3,2
5861326,5866830,5861326_5866830,1,08:34:00,24.9704379,60.3119173,24.5640637,60.2983511,134,99,39366.7,2
5861326,5866831,5861326_5866831,1,08:34:00,24.9704379,60.3119173,24.5685825,60.2984339,141,106,39853.4,2
5861326,5866832,5861326_5866832,1,08:34:00,24.9704379,60.3119173,24.5731013,60.2985166,146,112,40234.6,2
5861326,5866833,5861326_5866833,1,08:34:00,24.9704379,60.3119173,24.5776202,60.2985991,149,114,40383.5,2
5861326,5866834,5861326_5866834,1,08:34:00,24.9704379,60.3119173,24.582139,60.2986814,140,106,38750.7,2
5861326,5866835,5861326_5866835,1,08:34:00,24.9704379,60.3119173,24.5866579,60.2987636,139,104,38641.6,2
5861326,5866836,5861326_5866836,1,08:34:00,24.9704379,60.3119173,24.5911768,60.2988456,149,114,39358.9,2
5861326,5866837,5861326_5866837,1,,24.9704379,60.3119173,24.5956958,60.2989275,-100000,-100000,-99999.99,-100000
5861326,5866838,5861326_5866838,1,,24.9704379,60.3119173,24.6002148,60.2990092,-100000,-100000,-99999.99,-100000
5861326,5866839,5861326_5866839,1,08:34:00,24.9704379,60.3119173,24.6047338,60.2990908,179,145,40055.9,2
5861326,5866840,5861326_5866840,1,08:34:00,24.9704379,60.3119173,24.6092528,60.2991722,176,141,39806.4,2
5861326,5866841,5861326_5866841,1,08:34:00,24.9704379,60.3119173,24.6137718,60.2992534,179,144,40022,2
5861326,5866842,5861326_5866842,1,08:34:00,24.9704379,60.3119173,24.6182909,60.2993345,169,134,39344.6,2
5861326,5866843,5861326_5866843,1,08:34:00,24.9704379,60.3119173,24.62281,60.2994155,168,134,39286.1,2
5861326,5866844,5861326_5866844,1,08:34:00,24.9704379,60.3119173,24.6273292,60.2994963,176,141,39814.9,2
5861326,5866845,5861326_5866845,1,08:34:00,24.9704379,60.3119173,24.6318483,60.2995769,175,140,39740.6,2
5861326,5866846,5861326_5866846,1,08:34:00,24.9704379,60.3119173,24.6363675,60.2996574,178,143,39960.2,2
5861326,5866847,5861326_5866847,1,08:34:00,24.9704379,60.3119173,24.6408867,60.2997378,134,114,36328.5,2
5861326,5866848,5861326_5866848,1,08:23:00,24.9704379,60.3119173,24.6454059,60.2998179,130,106,27738.6,3
5861326,5866849,5861326_5866849,1,08:23:00,24.9704379,60.3119173,24.6499252,60.299898,130,105,27687.6,3
5861326,5866850,5861326_5866850,1,08:23:00,24.9704379,60.3119173,24.6544445,60.2999778,117,92,26781.7,3
5861326,5866851,5861326_5866851,1,08:23:00,24.9704379,60.3119173,24.6589638,60.3000576,113,88,26455.8,3
5861326,5866852,5861326_5866852,1,08:23:00,24.9704379,60.3119173,24.6634831,60.3001371,108,83,26111.2,3
5861326,5866853,5861326_5866853,1,08:23:00,24.9704379,60.3119173,24.6680025,60.3002166,105,80,25913.3,3
5861326,5866854,5861326_5866854,1,08:23:00,24.9704379,60.3119173,24.6725219,60.3002958,101,76,25637.2,3
5861326,5866855,5861326_5866855,1,08:23:00,24.9704379,60.3119173,24.6770413,60.3003749,96,71,25286.8,3
5861326,5866856,5861326_5866856,1,08:23:00,24.9704379,60.3119173,24.6815607,60.3004539,94,69,25123.1,3
5861326,5866857,5861326_5866857,1,08:23:00,24.9704379,60.3119173,24.6860802,60.3005327,93,68,25074.3,3
5861326,5866858,5861326_5866858,1,08:23:00,24.9704379,60.3119173,24.6905997,60.3006113,87,61,24248.3,3
5861326,5866859,5861326_5866859,1,08:23:00,24.9704379,60.3119173,24.6951192,60.3006898,85,59,24097.4,3
5861326,5866860,5861326_5866860,1,08:23:00,24.9704379,60.3119173,24.6996388,60.3007682,86,60,24176,3
5861326,5866861,5861326_5866861,1,08:23:00,24.9704379,60.3119173,24.7041583,60.3008463,87,60,24181.9,3
5861326,5866862,5861326_5866862,1,08:23:00,24.9704379,60.3119173,24.7086779,60.3009244,89,63,24350.8,3
5861326,5866863,5861326_5866863,1,08:23:00,24.9704379,60.3119173,24.7131975,60.3010023,86,70,24902,3
5861326,5866864,5861326_5866864,1,08:34:00,24.9704379,60.3119173,24.7177172,60.30108,91,78,23634.5,2
5861326,5866865,5861326_5866865,1,08:34:00,24.9704379,60.3119173,24.7222368,60.3011576,88,74,23382.8,2
5861326,5866866,5861326_5866866,1,08:34:00,24.9704379,60.3119173,24.7267565,60.301235,88,75,23401.9,2
